,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
21,22,22.192002886999997,1.1.1.1,Target,TCP,60,443  >  50996 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.0001029999999992981,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1102,60,True,True,False,True,False,True,False,False,False,0.0002962239999959593,4.7600000002034903e-05,0.031056716000001927,22.042744187999997,0.0001172720000000016,0.0003617879999999879,0.00023304999999999854,0.051011995000000004,4.376899999999906e-05
22,23,22.227691078000003,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,5,"Server Hello, Change Cipher Spec",,,,,,0.03568819100000553,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1102,False,True,True,False,True,False,True,False,False,0.0001029999999992981,0.0002962239999959593,4.7600000002034903e-05,0.031056716000001927,22.042744187999997,0.0001172720000000016,0.0003617879999999879,0.00023304999999999854,0.051011995000000004
23,24,22.227712038000004,Target,1.1.1.1,TCP,54,50996  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.09600000005139e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.03568819100000553,0.0001029999999992981,0.0002962239999959593,4.7600000002034903e-05,0.031056716000001927,22.042744187999997,0.0001172720000000016,0.0003617879999999879,0.00023304999999999854
24,25,22.227884458000002,1.1.1.1,Target,TLSv1.3,1329,Application Data,False,,,Exfiltration,5,Application Data,,,,,,0.00017241999999839663,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,54,1514,60,571,54,60,74,60,54,True,False,False,True,True,False,True,False,True,2.09600000005139e-05,0.03568819100000553,0.0001029999999992981,0.0002962239999959593,4.7600000002034903e-05,0.031056716000001927,22.042744187999997,0.0001172720000000016,0.0003617879999999879
25,26,22.227891008,Target,1.1.1.1,TCP,54,50996  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2736,34080,0,6.549999998384237e-06,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,1329,54,1514,60,571,54,60,74,60,False,True,False,False,True,True,False,True,False,0.00017241999999839663,2.09600000005139e-05,0.03568819100000553,0.0001029999999992981,0.0002962239999959593,4.7600000002034903e-05,0.031056716000001927,22.042744187999997,0.0001172720000000016
26,27,22.228361101999997,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,5,"Change Cipher Spec, Application Data",,,,,,0.0004700939999970899,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1329,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,6.549999998384237e-06,0.00017241999999839663,2.09600000005139e-05,0.03568819100000553,0.0001029999999992981,0.0002962239999959593,4.7600000002034903e-05,0.031056716000001927,22.042744187999997
27,28,22.228463291999997,Target,1.1.1.1,TLSv1.3,252,Application Data,True,Linux,Python,Exfiltration,5,Application Data,,,,,,0.00010218999999977996,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,134,54,1329,54,1514,60,571,54,60,True,True,False,True,False,False,True,True,False,0.0004700939999970899,6.549999998384237e-06,0.00017241999999839663,2.09600000005139e-05,0.03568819100000553,0.0001029999999992981,0.0002962239999959593,4.7600000002034903e-05,0.031056716000001927
28,29,22.228466742,1.1.1.1,Target,TCP,60,443  >  50996 [ACK] Seq=2736 Ack=598 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2736,598,65535,0,3.4500000012371856e-06,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,252,134,54,1329,54,1514,60,571,54,True,True,True,False,True,False,False,True,True,0.00010218999999977996,0.0004700939999970899,6.549999998384237e-06,0.00017241999999839663,2.09600000005139e-05,0.03568819100000553,0.0001029999999992981,0.0002962239999959593,4.7600000002034903e-05
29,30,22.228537247,1.1.1.1,Target,TCP,60,443  >  50996 [ACK] Seq=2736 Ack=796 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2736,796,65535,0,7.0505000000054e-05,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,60,252,134,54,1329,54,1514,60,571,False,True,True,True,False,True,False,False,True,3.4500000012371856e-06,0.00010218999999977996,0.0004700939999970899,6.549999998384237e-06,0.00017241999999839663,2.09600000005139e-05,0.03568819100000553,0.0001029999999992981,0.0002962239999959593
30,31,22.280665961,1.1.1.1,Target,TLSv1.3,1106,"Application Data, Application Data",False,,,Exfiltration,5,"Application Data, Application Data",,,,,,0.05212871400000196,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,60,252,134,54,1329,54,1514,60,False,False,True,True,True,False,True,False,False,7.0505000000054e-05,3.4500000012371856e-06,0.00010218999999977996,0.0004700939999970899,6.549999998384237e-06,0.00017241999999839663,2.09600000005139e-05,0.03568819100000553,0.0001029999999992981
31,32,22.280900646,1.1.1.1,Target,TCP,60,"443  >  50996 [FIN, ACK] Seq=3788 Ack=796 Win=65535 Len=0",False,,,Exfiltration,5,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",3788,796,65535,0,0.000234684999998791,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,1106,60,60,252,134,54,1329,54,1514,False,False,False,True,True,True,False,True,False,0.05212871400000196,7.0505000000054e-05,3.4500000012371856e-06,0.00010218999999977996,0.0004700939999970899,6.549999998384237e-06,0.00017241999999839663,2.09600000005139e-05,0.03568819100000553
32,33,22.281192955,Target,1.1.1.1,TCP,54,"50996  >  443 [FIN, ACK] Seq=796 Ack=3789 Win=36920 Len=0",True,Linux,Python,Exfiltration,5,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",796,3789,36920,0,0.0002923090000024331,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,60,1106,60,60,252,134,54,1329,54,False,False,False,False,True,True,True,False,True,0.000234684999998791,0.05212871400000196,7.0505000000054e-05,3.4500000012371856e-06,0.00010218999999977996,0.0004700939999970899,6.549999998384237e-06,0.00017241999999839663,2.09600000005139e-05
33,34,22.281354095,1.1.1.1,Target,TCP,60,443  >  50996 [ACK] Seq=3789 Ack=797 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],3789,797,65535,0,0.00016113999999944895,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,54,60,1106,60,60,252,134,54,1329,True,False,False,False,False,True,True,True,False,0.0002923090000024331,0.000234684999998791,0.05212871400000196,7.0505000000054e-05,3.4500000012371856e-06,0.00010218999999977996,0.0004700939999970899,6.549999998384237e-06,0.00017241999999839663
34,37,69.33340850399999,Target,1.1.1.1,TCP,74,50998  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405177034 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,5,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,47.05205440899999,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,60,54,60,1106,60,60,252,134,54,False,True,False,False,False,False,True,True,True,0.00016113999999944895,0.0002923090000024331,0.000234684999998791,0.05212871400000196,7.0505000000054e-05,3.4500000012371856e-06,0.00010218999999977996,0.0004700939999970899,6.549999998384237e-06
35,38,69.374500423,1.1.1.1,Target,TCP,60,"443  >  50998 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,5,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.04109191900001008,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,74,60,54,60,1106,60,60,252,134,True,False,True,False,False,False,False,True,True,47.05205440899999,0.00016113999999944895,0.0002923090000024331,0.000234684999998791,0.05212871400000196,7.0505000000054e-05,3.4500000012371856e-06,0.00010218999999977996,0.0004700939999970899
36,39,69.374549873,Target,1.1.1.1,TCP,54,50998  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,4.9450000005890615e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,60,74,60,54,60,1106,60,60,252,False,True,False,True,False,False,False,False,True,0.04109191900001008,47.05205440899999,0.00016113999999944895,0.0002923090000024331,0.000234684999998791,0.05212871400000196,7.0505000000054e-05,3.4500000012371856e-06,0.00010218999999977996
37,40,69.37486193699999,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,5,Client Hello,,,,,,0.00031206399998495726,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,54,60,74,60,54,60,1106,60,60,True,False,True,False,True,False,False,False,False,4.9450000005890615e-05,0.04109191900001008,47.05205440899999,0.00016113999999944895,0.0002923090000024331,0.000234684999998791,0.05212871400000196,7.0505000000054e-05,3.4500000012371856e-06
38,41,69.374973897,1.1.1.1,Target,TCP,60,443  >  50998 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00011196000001234552,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1106,60,True,True,False,True,False,True,False,False,False,0.00031206399998495726,4.9450000005890615e-05,0.04109191900001008,47.05205440899999,0.00016113999999944895,0.0002923090000024331,0.000234684999998791,0.05212871400000196,7.0505000000054e-05
39,42,69.418200873,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,5,"Server Hello, Change Cipher Spec",,,,,,0.043226975999999695,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1106,False,True,True,False,True,False,True,False,False,0.00011196000001234552,0.00031206399998495726,4.9450000005890615e-05,0.04109191900001008,47.05205440899999,0.00016113999999944895,0.0002923090000024331,0.000234684999998791,0.05212871400000196
40,43,69.41822230300001,Target,1.1.1.1,TCP,54,50998  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.143000000387474e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.043226975999999695,0.00011196000001234552,0.00031206399998495726,4.9450000005890615e-05,0.04109191900001008,47.05205440899999,0.00016113999999944895,0.0002923090000024331,0.000234684999998791
41,44,69.418465417,1.1.1.1,Target,TLSv1.3,1330,Application Data,False,,,Exfiltration,5,Application Data,,,,,,0.00024311399998566685,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,54,1514,60,571,54,60,74,60,54,True,False,False,True,True,False,True,False,True,2.143000000387474e-05,0.043226975999999695,0.00011196000001234552,0.00031206399998495726,4.9450000005890615e-05,0.04109191900001008,47.05205440899999,0.00016113999999944895,0.0002923090000024331
42,45,69.418489077,Target,1.1.1.1,TCP,54,50998  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2737,34080,0,2.3660000010750082e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,1330,54,1514,60,571,54,60,74,60,False,True,False,False,True,True,False,True,False,0.00024311399998566685,2.143000000387474e-05,0.043226975999999695,0.00011196000001234552,0.00031206399998495726,4.9450000005890615e-05,0.04109191900001008,47.05205440899999,0.00016113999999944895
