,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
21,22,0.16930459399999997,1.1.1.1,Target,TCP,60,443  >  50380 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00021183999999999092,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1160,60,True,True,False,True,False,True,False,False,False,0.00048071999999999004,7.131899999998637e-05,0.035374095999999994,0.0004611900000000002,9.329000000002363e-05,0.00038650899999997934,0.0001890300000000067,0.056224181,9.356000000000642e-05
22,23,0.20717411300000002,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,3,"Server Hello, Change Cipher Spec",,,,,,0.037869519000000046,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1160,False,True,True,False,True,False,True,False,False,0.00021183999999999092,0.00048071999999999004,7.131899999998637e-05,0.035374095999999994,0.0004611900000000002,9.329000000002363e-05,0.00038650899999997934,0.0001890300000000067,0.056224181
23,24,0.207194903,Target,1.1.1.1,TCP,54,50380  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.078999999999276e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.037869519000000046,0.00021183999999999092,0.00048071999999999004,7.131899999998637e-05,0.035374095999999994,0.0004611900000000002,9.329000000002363e-05,0.00038650899999997934,0.0001890300000000067
24,25,0.207363493,1.1.1.1,Target,TLSv1.3,1330,Application Data,False,,,Exfiltration,3,Application Data,,,,,,0.00016858999999999624,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,54,1514,60,571,54,60,74,60,54,True,False,False,True,True,False,True,False,True,2.078999999999276e-05,0.037869519000000046,0.00021183999999999092,0.00048071999999999004,7.131899999998637e-05,0.035374095999999994,0.0004611900000000002,9.329000000002363e-05,0.00038650899999997934
25,26,0.20736933300000002,Target,1.1.1.1,TCP,54,50380  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2737,34080,0,5.840000000006951e-06,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,1330,54,1514,60,571,54,60,74,60,False,True,False,False,True,True,False,True,False,0.00016858999999999624,2.078999999999276e-05,0.037869519000000046,0.00021183999999999092,0.00048071999999999004,7.131899999998637e-05,0.035374095999999994,0.0004611900000000002,9.329000000002363e-05
26,27,0.207972623,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,3,"Change Cipher Spec, Application Data",,,,,,0.0006032899999999786,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1330,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,5.840000000006951e-06,0.00016858999999999624,2.078999999999276e-05,0.037869519000000046,0.00021183999999999092,0.00048071999999999004,7.131899999998637e-05,0.035374095999999994,0.0004611900000000002
27,28,0.208080982,1.1.1.1,Target,TCP,60,443  >  50380 [ACK] Seq=2737 Ack=598 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,598,65535,0,0.00010835900000000231,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,134,54,1330,54,1514,60,571,54,60,True,True,False,True,False,False,True,True,False,0.0006032899999999786,5.840000000006951e-06,0.00016858999999999624,2.078999999999276e-05,0.037869519000000046,0.00021183999999999092,0.00048071999999999004,7.131899999998637e-05,0.035374095999999994
28,29,0.208138762,Target,1.1.1.1,TLSv1.3,279,Application Data,True,Linux,Python,Exfiltration,3,Application Data,,,,,,5.778000000000727e-05,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,134,54,1330,54,1514,60,571,54,False,True,True,False,True,False,False,True,True,0.00010835900000000231,0.0006032899999999786,5.840000000006951e-06,0.00016858999999999624,2.078999999999276e-05,0.037869519000000046,0.00021183999999999092,0.00048071999999999004,7.131899999998637e-05
29,30,0.208204052,1.1.1.1,Target,TCP,60,443  >  50380 [ACK] Seq=2737 Ack=823 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,823,65535,0,6.528999999999563e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,279,60,134,54,1330,54,1514,60,571,True,False,True,True,False,True,False,False,True,5.778000000000727e-05,0.00010835900000000231,0.0006032899999999786,5.840000000006951e-06,0.00016858999999999624,2.078999999999276e-05,0.037869519000000046,0.00021183999999999092,0.00048071999999999004
30,31,0.266690912,1.1.1.1,Target,TLSv1.3,1160,"Application Data, Application Data",False,,,Exfiltration,3,"Application Data, Application Data",,,,,,0.05848686,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,279,60,134,54,1330,54,1514,60,False,True,False,True,True,False,True,False,False,6.528999999999563e-05,5.778000000000727e-05,0.00010835900000000231,0.0006032899999999786,5.840000000006951e-06,0.00016858999999999624,2.078999999999276e-05,0.037869519000000046,0.00021183999999999092
