,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
21,22,2.163602202,1.1.1.1,Target,TCP,60,443  >  50624 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00017253499999991817,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1158,60,True,True,False,True,False,True,False,False,False,0.0003653139999997279,4.8519999999996344e-05,0.0311751440000001,2.0033309960000003,0.00011137999999999426,0.00033448900000002113,0.0001613149999999952,0.05422597800000001,6.451999999999847e-05
22,23,2.1973085340000003,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,4,"Server Hello, Change Cipher Spec",,,,,,0.033706332000000394,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1158,False,True,True,False,True,False,True,False,False,0.00017253499999991817,0.0003653139999997279,4.8519999999996344e-05,0.0311751440000001,2.0033309960000003,0.00011137999999999426,0.00033448900000002113,0.0001613149999999952,0.05422597800000001
23,24,2.197330554,Target,1.1.1.1,TCP,54,50624  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.201999999984494e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.033706332000000394,0.00017253499999991817,0.0003653139999997279,4.8519999999996344e-05,0.0311751440000001,2.0033309960000003,0.00011137999999999426,0.00033448900000002113,0.0001613149999999952
24,25,2.197560294,1.1.1.1,Target,TLSv1.3,1330,Application Data,False,,,Exfiltration,4,Application Data,,,,,,0.0002297399999999783,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,54,1514,60,571,54,60,74,60,54,True,False,False,True,True,False,True,False,True,2.201999999984494e-05,0.033706332000000394,0.00017253499999991817,0.0003653139999997279,4.8519999999996344e-05,0.0311751440000001,2.0033309960000003,0.00011137999999999426,0.00033448900000002113
25,26,2.1975886940000002,Target,1.1.1.1,TCP,54,50624  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0,True,Linux,Python,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2737,34080,0,2.8400000000150527e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,1330,54,1514,60,571,54,60,74,60,False,True,False,False,True,True,False,True,False,0.0002297399999999783,2.201999999984494e-05,0.033706332000000394,0.00017253499999991817,0.0003653139999997279,4.8519999999996344e-05,0.0311751440000001,2.0033309960000003,0.00011137999999999426
26,27,2.198001583,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,4,"Change Cipher Spec, Application Data",,,,,,0.0004128889999996943,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1330,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,2.8400000000150527e-05,0.0002297399999999783,2.201999999984494e-05,0.033706332000000394,0.00017253499999991817,0.0003653139999997279,4.8519999999996344e-05,0.0311751440000001,2.0033309960000003
27,28,2.198080299,1.1.1.1,Target,TCP,60,443  >  50624 [ACK] Seq=2737 Ack=598 Win=65535 Len=0,False,,,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,598,65535,0,7.871599999997869e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,134,54,1330,54,1514,60,571,54,60,True,True,False,True,False,False,True,True,False,0.0004128889999996943,2.8400000000150527e-05,0.0002297399999999783,2.201999999984494e-05,0.033706332000000394,0.00017253499999991817,0.0003653139999997279,4.8519999999996344e-05,0.0311751440000001
28,29,2.1980889930000003,Target,1.1.1.1,TLSv1.3,276,Application Data,True,Linux,Python,Exfiltration,4,Application Data,,,,,,8.694000000364355e-06,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,134,54,1330,54,1514,60,571,54,False,True,True,False,True,False,False,True,True,7.871599999997869e-05,0.0004128889999996943,2.8400000000150527e-05,0.0002297399999999783,2.201999999984494e-05,0.033706332000000394,0.00017253499999991817,0.0003653139999997279,4.8519999999996344e-05
29,30,2.1982008790000003,1.1.1.1,Target,TCP,60,443  >  50624 [ACK] Seq=2737 Ack=820 Win=65535 Len=0,False,,,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,820,65535,0,0.00011188600000000548,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,276,60,134,54,1330,54,1514,60,571,True,False,True,True,False,True,False,False,True,8.694000000364355e-06,7.871599999997869e-05,0.0004128889999996943,2.8400000000150527e-05,0.0002297399999999783,2.201999999984494e-05,0.033706332000000394,0.00017253499999991817,0.0003653139999997279
30,31,2.248199629,1.1.1.1,Target,TLSv1.3,1154,"Application Data, Application Data",False,,,Exfiltration,4,"Application Data, Application Data",,,,,,0.04999874999999987,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,276,60,134,54,1330,54,1514,60,False,True,False,True,True,False,True,False,False,0.00011188600000000548,8.694000000364355e-06,7.871599999997869e-05,0.0004128889999996943,2.8400000000150527e-05,0.0002297399999999783,2.201999999984494e-05,0.033706332000000394,0.00017253499999991817
