"No.","Time","Source","Destination","Protocol","Length","Info"
"373","705.170559020","1.1.1.1","10.0.2.15","TCP","60","443  >  51034 [ACK] Seq=3792 Ack=798 Win=65535 Len=0"
"374","731.199756006","10.0.2.15","1.1.1.1","TCP","74","51036  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405838900 TSecr=0 WS=1024"
"375","731.226831272","1.1.1.1","10.0.2.15","TCP","60","443  >  51036 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"376","731.226871162","10.0.2.15","1.1.1.1","TCP","54","51036  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"377","731.227159157","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"378","731.227305137","1.1.1.1","10.0.2.15","TCP","60","443  >  51036 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"379","731.256747232","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"380","731.256768332","10.0.2.15","1.1.1.1","TCP","54","51036  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"381","731.256915101","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"382","731.256922071","10.0.2.15","1.1.1.1","TCP","54","51036  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"383","731.257444236","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"384","731.257546306","10.0.2.15","1.1.1.1","TLSv1.3","253","Application Data"
"385","731.257569671","1.1.1.1","10.0.2.15","TCP","60","443  >  51036 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"386","731.257651826","1.1.1.1","10.0.2.15","TCP","60","443  >  51036 [ACK] Seq=2737 Ack=797 Win=65535 Len=0"
"387","731.303710279","1.1.1.1","10.0.2.15","TLSv1.3","1108","Application Data, Application Data"
"388","731.303864649","1.1.1.1","10.0.2.15","TCP","60","443  >  51036 [FIN, ACK] Seq=3791 Ack=797 Win=65535 Len=0"
"389","731.304230373","10.0.2.15","1.1.1.1","TCP","54","51036  >  443 [FIN, ACK] Seq=797 Ack=3792 Win=36920 Len=0"
"390","731.304349423","1.1.1.1","10.0.2.15","TCP","60","443  >  51036 [ACK] Seq=3792 Ack=798 Win=65535 Len=0"
"391","790.327498653","10.0.2.15","1.1.1.1","TCP","74","51042  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405898028 TSecr=0 WS=1024"
"392","790.364179233","1.1.1.1","10.0.2.15","TCP","60","443  >  51042 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"393","790.364226043","10.0.2.15","1.1.1.1","TCP","54","51042  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"394","790.364520797","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"395","790.364630657","1.1.1.1","10.0.2.15","TCP","60","443  >  51042 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"396","790.402939786","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"397","790.402962876","10.0.2.15","1.1.1.1","TCP","54","51042  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"398","790.403144706","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"399","790.403151146","10.0.2.15","1.1.1.1","TCP","54","51042  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"400","790.403667670","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"401","790.403773880","10.0.2.15","1.1.1.1","TLSv1.3","251","Application Data"
"402","790.403781555","1.1.1.1","10.0.2.15","TCP","60","443  >  51042 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"403","790.403858655","1.1.1.1","10.0.2.15","TCP","60","443  >  51042 [ACK] Seq=2737 Ack=795 Win=65535 Len=0"
"404","790.458366488","1.1.1.1","10.0.2.15","TLSv1.3","1104","Application Data, Application Data"
"405","790.458567277","1.1.1.1","10.0.2.15","TCP","60","443  >  51042 [FIN, ACK] Seq=3787 Ack=795 Win=65535 Len=0"
"406","790.459000232","10.0.2.15","1.1.1.1","TCP","54","51042  >  443 [FIN, ACK] Seq=795 Ack=3788 Win=36920 Len=0"
"407","790.459138637","1.1.1.1","10.0.2.15","TCP","60","443  >  51042 [ACK] Seq=3788 Ack=796 Win=65535 Len=0"
"408","839.486404293","10.0.2.15","1.1.1.1","TCP","74","51044  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405947187 TSecr=0 WS=1024"
"409","839.521974233","1.1.1.1","10.0.2.15","TCP","60","443  >  51044 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"410","839.522015403","10.0.2.15","1.1.1.1","TCP","54","51044  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"411","839.522342653","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"412","839.522471478","1.1.1.1","10.0.2.15","TCP","60","443  >  51044 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"413","839.559115557","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"414","839.559140837","10.0.2.15","1.1.1.1","TCP","54","51044  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"415","839.559349997","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"416","839.559356527","10.0.2.15","1.1.1.1","TCP","54","51044  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"417","839.559874497","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"418","839.559987647","1.1.1.1","10.0.2.15","TCP","60","443  >  51044 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"419","839.560037377","10.0.2.15","1.1.1.1","TLSv1.3","254","Application Data"
"420","839.560159587","1.1.1.1","10.0.2.15","TCP","60","443  >  51044 [ACK] Seq=2737 Ack=798 Win=65535 Len=0"
"421","839.613502035","1.1.1.1","10.0.2.15","TLSv1.3","1110","Application Data, Application Data"
"422","839.613629085","1.1.1.1","10.0.2.15","TCP","60","443  >  51044 [FIN, ACK] Seq=3793 Ack=798 Win=65535 Len=0"
"423","839.614064095","10.0.2.15","1.1.1.1","TCP","54","51044  >  443 [FIN, ACK] Seq=798 Ack=3794 Win=36920 Len=0"
"424","839.614176135","1.1.1.1","10.0.2.15","TCP","60","443  >  51044 [ACK] Seq=3794 Ack=799 Win=65535 Len=0"
"425","852.635723288","10.0.2.15","1.1.1.1","TCP","74","51046  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405960336 TSecr=0 WS=1024"
"426","852.671014248","1.1.1.1","10.0.2.15","TCP","60","443  >  51046 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"427","852.671044798","10.0.2.15","1.1.1.1","TCP","54","51046  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"428","852.671374398","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"429","852.671518067","1.1.1.1","10.0.2.15","TCP","60","443  >  51046 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"430","852.709516821","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"431","852.709539051","10.0.2.15","1.1.1.1","TCP","54","51046  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"432","852.709720161","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"433","852.709726011","10.0.2.15","1.1.1.1","TCP","54","51046  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"434","852.710248771","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"435","852.710362021","1.1.1.1","10.0.2.15","TCP","60","443  >  51046 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"436","852.710549531","10.0.2.15","1.1.1.1","TLSv1.3","252","Application Data"
"437","852.710673621","1.1.1.1","10.0.2.15","TCP","60","443  >  51046 [ACK] Seq=2737 Ack=796 Win=65535 Len=0"
"438","852.764331789","1.1.1.1","10.0.2.15","TLSv1.3","1106","Application Data, Application Data"
"439","852.764519099","1.1.1.1","10.0.2.15","TCP","60","443  >  51046 [FIN, ACK] Seq=3789 Ack=796 Win=65535 Len=0"
"440","852.764875888","10.0.2.15","1.1.1.1","TCP","54","51046  >  443 [FIN, ACK] Seq=796 Ack=3790 Win=36920 Len=0"
"441","852.764982428","1.1.1.1","10.0.2.15","TCP","60","443  >  51046 [ACK] Seq=3790 Ack=797 Win=65535 Len=0"
"442","874.795228297","10.0.2.15","1.1.1.1","TCP","74","51048  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405982496 TSecr=0 WS=1024"
"443","874.830087578","1.1.1.1","10.0.2.15","TCP","60","443  >  51048 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
