"No.","Time","Source","Destination","Protocol","Length","Info"
"1630","12.228246247","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"1631","12.228541052","1.1.1.1","10.0.2.15","TCP","60","443  >  50568 [FIN, ACK] Seq=3843 Ack=823 Win=65535 Len=0"
"1632","12.228729882","10.0.2.15","1.1.1.1","TCP","54","50568  >  443 [FIN, ACK] Seq=823 Ack=3844 Win=36920 Len=0"
"1633","12.229257701","10.0.2.15","1.1.1.1","TCP","74","50570  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403858024 TSecr=0 WS=1024"
"1634","12.231191250","1.1.1.1","10.0.2.15","TCP","60","443  >  50568 [ACK] Seq=3844 Ack=824 Win=65535 Len=0"
"1635","12.265710546","1.1.1.1","10.0.2.15","TCP","60","443  >  50570 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1636","12.265758036","10.0.2.15","1.1.1.1","TCP","54","50570  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1637","12.266119206","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1638","12.266275765","1.1.1.1","10.0.2.15","TCP","60","443  >  50570 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1639","12.304142500","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1640","12.304172720","10.0.2.15","1.1.1.1","TCP","54","50570  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1641","12.304379685","1.1.1.1","10.0.2.15","TLSv1.3","1329","Application Data"
"1642","12.304387725","10.0.2.15","1.1.1.1","TCP","54","50570  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0"
"1643","12.305016949","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1644","12.305178649","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"1645","12.305191888","1.1.1.1","10.0.2.15","TCP","60","443  >  50570 [ACK] Seq=2736 Ack=598 Win=65535 Len=0"
"1646","12.305312648","1.1.1.1","10.0.2.15","TCP","60","443  >  50570 [ACK] Seq=2736 Ack=823 Win=65535 Len=0"
"1647","12.368670265","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"1648","12.368875235","1.1.1.1","10.0.2.15","TCP","60","443  >  50570 [FIN, ACK] Seq=3842 Ack=823 Win=65535 Len=0"
"1649","12.369159075","10.0.2.15","1.1.1.1","TCP","54","50570  >  443 [FIN, ACK] Seq=823 Ack=3843 Win=36920 Len=0"
"1650","12.369317794","1.1.1.1","10.0.2.15","TCP","60","443  >  50570 [ACK] Seq=3843 Ack=824 Win=65535 Len=0"
"1651","12.369649774","10.0.2.15","1.1.1.1","TCP","74","50572  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403858164 TSecr=0 WS=1024"
"1652","12.400482638","1.1.1.1","10.0.2.15","TCP","60","443  >  50572 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1653","12.400552568","10.0.2.15","1.1.1.1","TCP","54","50572  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1654","12.400864793","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1655","12.401025592","1.1.1.1","10.0.2.15","TCP","60","443  >  50572 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1656","12.434583018","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1657","12.434609688","10.0.2.15","1.1.1.1","TCP","54","50572  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1658","12.437232623","1.1.1.1","10.0.2.15","TLSv1.3","1329","Application Data"
"1659","12.437258283","10.0.2.15","1.1.1.1","TCP","54","50572  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0"
"1660","12.437853347","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1661","12.437967887","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"1662","12.438085897","1.1.1.1","10.0.2.15","TCP","60","443  >  50572 [ACK] Seq=2736 Ack=598 Win=65535 Len=0"
"1663","12.438107467","1.1.1.1","10.0.2.15","TCP","60","443  >  50572 [ACK] Seq=2736 Ack=823 Win=65535 Len=0"
"1664","12.488237708","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"1665","12.488458038","1.1.1.1","10.0.2.15","TCP","60","443  >  50572 [FIN, ACK] Seq=3842 Ack=823 Win=65535 Len=0"
"1666","12.488696402","10.0.2.15","1.1.1.1","TCP","54","50572  >  443 [FIN, ACK] Seq=823 Ack=3843 Win=36920 Len=0"
"1667","12.488805252","1.1.1.1","10.0.2.15","TCP","60","443  >  50572 [ACK] Seq=3843 Ack=824 Win=65535 Len=0"
"1668","12.489207182","10.0.2.15","1.1.1.1","TCP","74","50574  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403858284 TSecr=0 WS=1024"
"1669","12.520068120","1.1.1.1","10.0.2.15","TCP","60","443  >  50574 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1670","12.520125650","10.0.2.15","1.1.1.1","TCP","54","50574  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1671","12.520555230","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1672","12.520759780","1.1.1.1","10.0.2.15","TCP","60","443  >  50574 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1673","12.555562816","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1674","12.555589286","10.0.2.15","1.1.1.1","TCP","54","50574  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1675","12.555843741","1.1.1.1","10.0.2.15","TLSv1.3","1329","Application Data"
"1676","12.555851631","10.0.2.15","1.1.1.1","TCP","54","50574  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0"
"1677","12.556306824","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1678","12.556401914","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"1679","12.556434365","1.1.1.1","10.0.2.15","TCP","60","443  >  50574 [ACK] Seq=2736 Ack=598 Win=65535 Len=0"
"1680","12.556549555","1.1.1.1","10.0.2.15","TCP","60","443  >  50574 [ACK] Seq=2736 Ack=823 Win=65535 Len=0"
"1681","12.609339368","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"1682","12.609524439","1.1.1.1","10.0.2.15","TCP","60","443  >  50574 [FIN, ACK] Seq=3842 Ack=823 Win=65535 Len=0"
