"No.","Time","Source","Destination","Protocol","Length","Info"
"1719","569.760745729","1.1.1.1","10.0.2.15","TLSv1.3","1154","Application Data, Application Data"
"1720","569.760905079","1.1.1.1","10.0.2.15","TCP","60","443  >  50826 [FIN, ACK] Seq=3837 Ack=820 Win=65535 Len=0"
"1721","569.761271009","10.0.2.15","1.1.1.1","TCP","54","50826  >  443 [FIN, ACK] Seq=820 Ack=3838 Win=36920 Len=0"
"1722","569.761392959","1.1.1.1","10.0.2.15","TCP","60","443  >  50826 [ACK] Seq=3838 Ack=821 Win=65535 Len=0"
"1723","579.772994881","10.0.2.15","1.1.1.1","TCP","74","50828  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1404504596 TSecr=0 WS=1024"
"1724","579.805167790","1.1.1.1","10.0.2.15","TCP","60","443  >  50828 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1725","579.805216140","10.0.2.15","1.1.1.1","TCP","54","50828  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1726","579.805550399","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1727","579.805706685","1.1.1.1","10.0.2.15","TCP","60","443  >  50828 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1728","579.835076549","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1729","579.835103169","10.0.2.15","1.1.1.1","TCP","54","50828  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1730","579.835385849","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"1731","579.835390989","10.0.2.15","1.1.1.1","TCP","54","50828  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"1732","579.835813199","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1733","579.835944829","10.0.2.15","1.1.1.1","TLSv1.3","257","Application Data"
"1734","579.836005544","1.1.1.1","10.0.2.15","TCP","60","443  >  50828 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"1735","579.836011524","1.1.1.1","10.0.2.15","TCP","60","443  >  50828 [ACK] Seq=2737 Ack=801 Win=65535 Len=0"
"1736","579.883552315","1.1.1.1","10.0.2.15","TLSv1.3","1116","Application Data, Application Data"
"1737","579.883712126","1.1.1.1","10.0.2.15","TCP","60","443  >  50828 [FIN, ACK] Seq=3799 Ack=801 Win=65535 Len=0"
"1738","579.884143395","10.0.2.15","1.1.1.1","TCP","54","50828  >  443 [FIN, ACK] Seq=801 Ack=3800 Win=36920 Len=0"
"1739","579.884275465","1.1.1.1","10.0.2.15","TCP","60","443  >  50828 [ACK] Seq=3800 Ack=802 Win=65535 Len=0"
"1740","585.892326014","10.0.2.15","1.1.1.1","TCP","74","50830  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1404510716 TSecr=0 WS=1024"
"1741","585.927097210","1.1.1.1","10.0.2.15","TCP","60","443  >  50830 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1742","585.927146870","10.0.2.15","1.1.1.1","TCP","54","50830  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1743","585.927487259","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1744","585.927653355","1.1.1.1","10.0.2.15","TCP","60","443  >  50830 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1745","585.964511480","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1746","585.964534670","10.0.2.15","1.1.1.1","TCP","54","50830  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1747","585.964688749","1.1.1.1","10.0.2.15","TLSv1.3","1331","Application Data"
"1748","585.964694739","10.0.2.15","1.1.1.1","TCP","54","50830  >  443 [ACK] Seq=518 Ack=2738 Win=34080 Len=0"
"1749","585.965253474","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1750","585.965357824","10.0.2.15","1.1.1.1","TLSv1.3","273","Application Data"
"1751","585.965388599","1.1.1.1","10.0.2.15","TCP","60","443  >  50830 [ACK] Seq=2738 Ack=598 Win=65535 Len=0"
"1752","585.965441629","1.1.1.1","10.0.2.15","TCP","60","443  >  50830 [ACK] Seq=2738 Ack=817 Win=65535 Len=0"
"1753","586.019596434","1.1.1.1","10.0.2.15","TLSv1.3","1148","Application Data, Application Data"
"1754","586.019631224","1.1.1.1","10.0.2.15","TCP","60","443  >  50830 [FIN, ACK] Seq=3832 Ack=817 Win=65535 Len=0"
"1755","586.020372461","10.0.2.15","1.1.1.1","TCP","54","50830  >  443 [FIN, ACK] Seq=817 Ack=3833 Win=36920 Len=0"
"1756","586.020565066","1.1.1.1","10.0.2.15","TCP","60","443  >  50830 [ACK] Seq=3833 Ack=818 Win=65535 Len=0"
"1757","593.029708122","10.0.2.15","1.1.1.1","TCP","74","50832  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1404517853 TSecr=0 WS=1024"
"1758","593.065401778","1.1.1.1","10.0.2.15","TCP","60","443  >  50832 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1759","593.065445518","10.0.2.15","1.1.1.1","TCP","54","50832  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1760","593.065773378","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1761","593.065918958","1.1.1.1","10.0.2.15","TCP","60","443  >  50832 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1762","593.103531287","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1763","593.103553857","10.0.2.15","1.1.1.1","TCP","54","50832  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1764","593.103719567","1.1.1.1","10.0.2.15","TLSv1.3","1329","Application Data"
"1765","593.103725797","10.0.2.15","1.1.1.1","TCP","54","50832  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0"
"1766","593.104343661","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1767","593.104451001","10.0.2.15","1.1.1.1","TLSv1.3","274","Application Data"
"1768","593.104483126","1.1.1.1","10.0.2.15","TCP","60","443  >  50832 [ACK] Seq=2736 Ack=598 Win=65535 Len=0"
"1769","593.104522696","1.1.1.1","10.0.2.15","TCP","60","443  >  50832 [ACK] Seq=2736 Ack=818 Win=65535 Len=0"
"1770","593.159776558","1.1.1.1","10.0.2.15","TLSv1.3","1150","Application Data, Application Data"
"1771","593.159955853","1.1.1.1","10.0.2.15","TCP","60","443  >  50832 [FIN, ACK] Seq=3832 Ack=818 Win=65535 Len=0"
"1772","593.160297202","10.0.2.15","1.1.1.1","TCP","54","50832  >  443 [FIN, ACK] Seq=818 Ack=3833 Win=36920 Len=0"
"1773","593.160417648","1.1.1.1","10.0.2.15","TCP","60","443  >  50832 [ACK] Seq=3833 Ack=819 Win=65535 Len=0"
"1774","595.163157579","10.0.2.15","1.1.1.1","TCP","74","50834  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1404519986 TSecr=0 WS=1024"
"1775","595.190554670","1.1.1.1","10.0.2.15","TCP","60","443  >  50834 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1776","595.190601490","10.0.2.15","1.1.1.1","TCP","54","50834  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1777","595.190933309","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1778","595.191086829","1.1.1.1","10.0.2.15","TCP","60","443  >  50834 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1779","595.221166829","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1780","595.221189879","10.0.2.15","1.1.1.1","TCP","54","50834  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1781","595.221372688","1.1.1.1","10.0.2.15","TLSv1.3","1331","Application Data"
"1782","595.221379478","10.0.2.15","1.1.1.1","TCP","54","50834  >  443 [ACK] Seq=518 Ack=2738 Win=34080 Len=0"
"1783","595.221880758","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1784","595.221996988","10.0.2.15","1.1.1.1","TLSv1.3","262","Application Data"
"1785","595.222031498","1.1.1.1","10.0.2.15","TCP","60","443  >  50834 [ACK] Seq=2738 Ack=598 Win=65535 Len=0"
"1786","595.222063488","1.1.1.1","10.0.2.15","TCP","60","443  >  50834 [ACK] Seq=2738 Ack=806 Win=65535 Len=0"
"1787","595.268817376","1.1.1.1","10.0.2.15","TLSv1.3","1126","Application Data, Application Data"
"1788","595.268985226","1.1.1.1","10.0.2.15","TCP","60","443  >  50834 [FIN, ACK] Seq=3810 Ack=806 Win=65535 Len=0"
"1789","595.269255065","10.0.2.15","1.1.1.1","TCP","54","50834  >  443 [FIN, ACK] Seq=806 Ack=3811 Win=36920 Len=0"
"1790","595.269423725","1.1.1.1","10.0.2.15","TCP","60","443  >  50834 [ACK] Seq=3811 Ack=807 Win=65535 Len=0"
"1791","604.307602659","10.0.2.15","1.1.1.1","TCP","74","50836  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1404529131 TSecr=0 WS=1024"
"1792","604.343187751","1.1.1.1","10.0.2.15","TCP","60","443  >  50836 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1793","604.343237321","10.0.2.15","1.1.1.1","TCP","54","50836  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1794","604.343555215","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
